Title	NDCG@1	NDCG@5	NDCG@10	NDCG@100	MAP@1	MAP@5	MAP@10	MAP@100	Recall@1	Recall@5	Recall@10	Recall@100	P@1	P@5	P@10	P@100
bm25_all_bucket2	0.30508	0.4172	0.43651	0.47782	0.3003	0.38588	0.39438	0.40246	0.3003	0.50974	0.56683	0.76118	0.30508	0.10638	0.06009	0.00836
bm25_all_bucket3	0.28336	0.46967	0.50662	0.54867	0.25177	0.41794	0.43668	0.44702	0.25177	0.61712	0.719	0.88854	0.28336	0.15463	0.09372	0.01249
bm25_all_bucket4	0.27586	0.45683	0.51396	0.5688	0.26552	0.40325	0.43252	0.44819	0.26552	0.6092	0.76552	0.96552	0.27586	0.13793	0.09379	0.01345
bm25_occupation_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_occupation_bucket2	0.6087	0.77442	0.78165	0.79392	0.6087	0.73236	0.73545	0.73812	0.6087	0.89783	0.91957	0.97609	0.6087	0.17957	0.09196	0.00976
bm25_occupation_bucket3	0.45	0.65104	0.68369	0.69519	0.45	0.5925	0.60614	0.60897	0.45	0.825	0.925	0.975	0.45	0.165	0.0925	0.00975
bm25_occupation_bucket4	0.11765	0.52147	0.57734	0.57734	0.11765	0.41863	0.44092	0.44092	0.11765	0.82353	1.0	1.0	0.11765	0.16471	0.1	0.01
bm25_mother_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_mother_bucket2	0.35849	0.58115	0.62207	0.64403	0.32075	0.51941	0.53887	0.54355	0.32075	0.75891	0.87421	0.96855	0.35849	0.18491	0.10881	0.01252
bm25_mother_bucket3	0.06667	0.29138	0.37295	0.47106	0.03333	0.22444	0.27142	0.29991	0.03333	0.46667	0.66667	1.0	0.06667	0.16	0.12667	0.02067
bm25_mother_bucket4	0.0	0.05786	0.13331	0.34555	0.0	0.03718	0.07808	0.14311	0.0	0.10256	0.30769	1.0	0.0	0.04615	0.05385	0.02385
bm25_religion_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_religion_bucket2	0.42915	0.63535	0.65739	0.67496	0.42105	0.57837	0.58791	0.59106	0.42105	0.80364	0.87045	0.95547	0.42915	0.16518	0.08947	0.00988
bm25_religion_bucket3	0.1875	0.51527	0.57442	0.59047	0.15104	0.43047	0.45894	0.46567	0.15104	0.75	0.91667	0.96875	0.1875	0.2	0.125	0.01344
bm25_religion_bucket4	0.13333	0.30895	0.38899	0.41368	0.1	0.25926	0.30019	0.30342	0.1	0.44444	0.66667	0.8	0.13333	0.14667	0.10667	0.012
bm25_place of birth_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_place of birth_bucket2	0.69434	0.80705	0.81373	0.8259	0.69434	0.77742	0.78015	0.78285	0.69434	0.89434	0.91509	0.96981	0.69434	0.17925	0.0917	0.00972
bm25_place of birth_bucket3	0.41935	0.69414	0.69414	0.70314	0.40323	0.61398	0.61398	0.61691	0.40323	0.93548	0.93548	0.96774	0.41935	0.19355	0.09677	0.01
bm25_place of birth_bucket4	0.16667	0.47951	0.47951	0.49266	0.16667	0.38889	0.38889	0.38993	0.16667	0.75	0.75	0.83333	0.16667	0.15	0.075	0.00833
bm25_genre_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
